Ticker
CSCO
WMT
MRK
HD
NKE
MCD
CRM
CAT
VZ
WBA
MMM
AMGN
JNJ
IBM
KO
JPM
V
AAPL
PG
UNH
DOW
CVX
INTC
HON
TRV
MSFT
AXP
BA
GS
DIS
